Description,Score,Topicality
Siberian tiger,0.9498856663703918,0.9498856663703918
Bengal tiger,0.9484720230102539,0.9484720230102539
Tiger,0.9295679926872253,0.9295679926872253
Carnivore,0.8950098156929016,0.8950098156929016
Felidae,0.8910675048828125,0.8910675048828125
Fluid,0.8474135398864746,0.8474135398864746
Whiskers,0.8229678869247437,0.8229678869247437
Terrestrial animal,0.8080273270606995,0.8080273270606995
Snout,0.7751160264015198,0.7751160264015198
Big cats,0.7619965076446533,0.7619965076446533
