Description,Score,Topicality
Car,0.9758675694465637,0.9758675694465637
Vehicle registration plate,0.9565474987030029,0.9565474987030029
Vehicle,0.9535899758338928,0.9535899758338928
Tire,0.9370155334472656,0.9370155334472656
Grille,0.9362006187438965,0.9362006187438965
Automotive lighting,0.9193001389503479,0.9193001389503479
Hood,0.9182723760604858,0.9182723760604858
Motor vehicle,0.9171364307403564,0.9171364307403564
Blue,0.914099395275116,0.914099395275116
Wheel,0.9139140248298645,0.9139140248298645
