Description,Score,Topicality
Car,0.9823629260063171,0.9823629260063171
Land vehicle,0.9734841585159302,0.9734841585159302
Tire,0.971172034740448,0.971172034740448
Wheel,0.9678589105606079,0.9678589105606079
Vehicle,0.9629222750663757,0.9629222750663757
Hood,0.9181504249572754,0.9181504249572754
Automotive lighting,0.9135376214981079,0.9135376214981079
Motor vehicle,0.8945717215538025,0.8945717215538025
Automotive design,0.8917091488838196,0.8917091488838196
Automotive tire,0.8617297410964966,0.8617297410964966
