Description,Score,Topicality
Elephant,0.96651291847229,0.96651291847229
Ecoregion,0.9308978915214539,0.9308978915214539
Vertebrate,0.9228105545043945,0.9228105545043945
Working animal,0.8849275708198547,0.8849275708198547
Mammal,0.8585444092750549,0.8585444092750549
African elephant,0.85093092918396,0.85093092918396
Natural landscape,0.8279755711555481,0.8279755711555481
Terrestrial animal,0.7991933822631836,0.7991933822631836
Plant,0.7924376130104065,0.7924376130104065
Adaptation,0.7923121452331543,0.7923121452331543
